sku_id,history_lines,history_units,quality_rank_mean,unit_weighted_quality_rank_mean,quality_first_rate,unit_weighted_quality_first_rate,price_first_rate,dominant_supplier,dominant_supplier_units,dominant_supplier_unit_share,dominant_supplier_quality_rank_mean
1070013100,87,736,1.5862068965517242,1.517663043478261,0.5517241379310345,0.6019021739130435,0.06896551724137931,supplier_4,417,0.5665760869565217,1.125
1111143012,82,1582,1.3780487804878048,1.4007585335018964,0.6219512195121951,0.5992414664981036,0.1951219512195122,supplier_5,948,0.5992414664981036,1.0
1230000010,88,723,1.4090909090909092,1.376210235131397,0.5909090909090909,0.623789764868603,0.0,supplier_5,451,0.623789764868603,1.0
1230000014,89,2177,1.404494382022472,1.361966008268259,0.5955056179775281,0.6380339917317409,0.0,supplier_1,1389,0.6380339917317409,1.0
1230000020,88,844,1.3977272727272727,1.3933649289099526,0.6022727272727273,0.6066350710900474,0.0,supplier_1,512,0.6066350710900474,1.0
1230000024,89,816,1.4831460674157304,1.5208333333333333,0.5393258426966292,0.5061274509803921,0.0,supplier_2,450,0.5514705882352942,1.2452830188679245
1254612128,91,1031,1.4725274725274726,1.4830261881668283,0.5274725274725275,0.5169738118331717,0.03296703296703297,supplier_4,568,0.550921435499515,1.530612244897959
1254671165,89,491,1.5168539325842696,1.494908350305499,0.5617977528089888,0.5804480651731161,0.25842696629213485,supplier_2,253,0.515274949083503,1.0454545454545454
1380010423,53,371,1.4528301886792452,1.5633423180592991,0.5471698113207547,0.4366576819407008,0.0,supplier_5,195,0.5256064690026954,1.3
1470001283,80,361,1.825,1.853185595567867,0.425,0.47368421052631576,0.1375,supplier_5,119,0.3296398891966759,1.6071428571428572
1600066110,89,1279,1.550561797752809,1.5676309616888193,0.5842696629213483,0.5785770132916341,0.0,supplier_5,740,0.5785770132916341,1.0
1660000006,90,1176,1.5666666666666667,1.6156462585034013,0.5,0.47619047619047616,0.011111111111111112,supplier_3,602,0.5119047619047619,1.5434782608695652
1660000064,89,1413,1.4382022471910112,1.4394904458598725,0.5842696629213483,0.5817409766454352,0.011235955056179775,supplier_3,841,0.5951875442321303,1.0555555555555556
1660051312,86,1048,1.6395348837209303,1.640267175572519,0.6162790697674418,0.5782442748091603,0.10465116279069768,supplier_3,606,0.5782442748091603,1.0
1690000012,90,1294,1.7333333333333334,1.740340030911901,0.5555555555555556,0.5510046367851623,0.12222222222222222,supplier_1,713,0.5510046367851623,1.0
1690001601,88,1934,1.4431818181818181,1.452430196483971,0.5681818181818182,0.5729058945191313,0.0,supplier_4,1099,0.5682523267838676,1.1886792452830188
1700000515,91,887,1.3736263736263736,1.3291995490417137,0.6593406593406593,0.6832018038331454,0.0,supplier_3,465,0.52423900789177,1.297872340425532
